patients.address_found,patients.city_found,patients.common_name,patients.county_found,patients.found_at,patients.disposition,patients.keywords,admissions.id,admissions.case_year,people.postal_code
Conwell Street,Provincetown,Eastern Cottontail,Barnstable County,1/8/2019,Euthanized in 24hr,,19,2019,2657
48 Old Meadow Road,Brewster,Southern Flying Squirrel,Barnstable County,1/8/2019,Died in 24hr,,20,2019,2631
1059 Oak Street,Harwich,Eastern Cottontail,Barnstable County,1/8/2019,Died +24hr,,21,2019,2645
56 Melville Road,South Yarmouth,American Goldfinch,Barnstable County,1/9/2019,Died +24hr,,22,2019,2664
10 Goose Point Lane,Sandwich,Common Eider,Barnstable County,1/10/2019,Euthanized in 24hr,Projectile - shot.,23,2019,2537
Callahan's Pass,"Orleans, MA",Common Loon,Barnstable County,1/12/2019,Died +24hr,,24,2019,2653
On Route 6 near Truro Central School.,Truro,Northern Saw-whet Owl,Barnstable County,1/14/2019,Released,,25,2019,2663
Fox Island Road,Wellfleet,White-winged Scoter,Barnstable County,1/14/2019,Died +24hr,,26,2019,2667
24 Ridgewood Road,South Orleans,Red-bellied Woodpecker,Barnstable County,1/21/2019,Dead on arrival,,27,2019,
Unknown,Falmouth,Northern Flicker,Barnstable County,1/21/2019,Euthanized +24hr,,28,2019,
133 Eastgate Road,Brewster,Red-breasted Nuthatch,Barnstable County,1/23/2019,Released,,29,2019,2631
142 Indian Hill Road N,Chatham,Dovekie,Barnstable County,1/24/2019,Released,,30,2019,2633
Unknown,Orleans,Razorbill,Barnstable County,1/25/2019,Dead on arrival,,31,2019,
106 Mayflower Terrace,South Yarmouth,Cooper's Hawk,Barnstable County,1/26/2019,Euthanized in 24hr,Entrapment on a fence.,32,2019,2664
Rotondi,968 Route 6A,Eastern Gray Squirrel,,1/26/2019,Died +24hr,Animal Interaction - dog.,33,2019,2675
"Angel Foods, Commercial Street",Provincetown,Razorbill,Barnstable County,1/27/2019,Died in 24hr,,34,2019,2657
Umknown,Dartmouth,Cooper's Hawk,Bristol County,1/28/2019,Died +24hr,,35,2019,
127 Pine Street,Medfield,American Goldfinch,Norfolk County,1/10/2019,Released,,36,2019,2052
Tonset Road,Orleans,Eastern Gray Squirrel,Barnstable County,1/15/2019,Released,,37,2019,2653
215 Paine Hollow Road,Wellfleet,Razorbill,Barnstable County,1/17/2019,Released,,38,2019,2667
Meetinghouse Village,Brewster,Eastern Screech-owl,Barnstable County,1/18/2019,Released,,39,2019,
Little Depot Pond,Eastham,Common Loon,Barnstable County,1/18/2019,Released,,40,2019,
Unknown,Orleans,Eastern Cottontail,Barnstable County,1/19/2019,Euthanized in 24hr,,41,2019,2645
Chatham drawbridge,Chatham,Common Loon,Barnstable County,1/21/2019,Died +24hr,,42,2019,2633
Sandy Meadow Loop,Eastham,Common Murre,Barnstable County,1/22/2019,Died in 24hr,,43,2019,2642
Unknown,Truro,American Black Duck,Barnstable County,1/23/2019,Died +24hr,,44,2019,
Unknown,Dartmouth,Razorbill,Bristol County,1/24/2019,Released,,45,2019,
Nauset Beach,Orleans,Razorbill,Barnstable County,3/6/2019,Dead on arrival,,46,2019,
Nauset Beach,Orleans,Razorbill,Barnstable County,3/6/2019,Dead on arrival,,47,2019,
Nauset Beach,Orleans,Razorbill,Barnstable County,1/29/2019,Dead on arrival,,48,2019,
Unknown,Provincetown,Long-tailed Duck,Barnstable County,1/30/2019,Euthanized in 24hr,,49,2019,2657
Ryder's Cove,Chatham,Common Eider,Barnstable County,1/30/2019,Euthanized in 24hr,,50,2019,2650
Stop & Shop,Orleans,Herring Gull,Barnstable County,2/1/2019,Released,,51,2019,
186 Wiffletree Avenue,Brewster,Red-tailed Hawk,Barnstable County,3/12/2019,Released,,52,2019,
Henry's Road,Brewster,American Robin,Barnstable County,2/1/2019,Released,,53,2019,2653
Arnolds,Eastham,Red-breasted Merganser,Barnstable County,2/2/2019,Euthanized +24hr,,54,2019,2651
Thistlemore Way,Provincetown,Cedar Waxwing,Barnstable County,2/2/2019,Died in 24hr,,55,2019,2657
Paine Road,North Attleboro,Canada Goose,Bristol County,2/3/2019,Euthanized in 24hr,,56,2019,2703
Stage Harbor,Chatham,Common Loon,Barnstable County,2/3/2019,Died in 24hr,,57,2019,2646
22 Sally way,North Truro,Greater Black-backed Gull,Barnstable County,2/5/2019,Released,,58,2019,
14 Winslow Street,Provincetown,Common Loon,Barnstable County,2/9/2019,Released,Behavioral Stranding,59,2019,2657
Stage Harbor Marine,Chatham,Common Loon,Barnstable County,3/12/2019,Released,Entrapment in ice.,60,2019,
Rock Harbor parking lot.,Orleans,Herring Gull,Barnstable County,2/4/2019,Died in 24hr,Collision,61,2019,2642
120 Dyer Prince Road,Eastham,Black-capped Chickadee,Barnstable County,2/4/2019,Died in 24hr,,62,2019,2642
Sheep Pond Drive,Brewster,House Finch,Barnstable County,2/6/2019,Died in 24hr,Collision,63,2019,2631
Route 6,Truro,Great Black-backed Gull,Barnstable County,2/7/2019,Died in 24hr,Collision,64,2019,2648
26 Grant,Forestdale,Northern Cardinal,Barnstable County,2/9/2019,Euthanized +24hr,Animal Interaction - cat.,65,2019,2644
24 Cooper Road,Truro,Common Murre,Barnstable County,2/10/2019,Died +24hr,Environmental - wind.,66,2019,
351 Commercial Street,Provincetown,Rock Pigeon,Barnstable County,2/13/2019,Euthanized in 24hr,,67,2019,2657
10 Martha's Lane,Harwich,Herring Gull,Barnstable County,2/15/2019,Euthanized in 24hr,,68,2019,
Unknown,Chatham,Common Eider,Barnstable County,2/16/2019,Died in 24hr,,69,2019,2631
Harding's Beach,Chatham,Common Loon,Barnstable County,2/19/2019,Died +24hr,,70,2019,2650
Route 137 near Stop & Shop,Harwich,American Robin,Barnstable County,2/22/2019,Dead on arrival,DOA,71,2019,
440 Old Wharf Road,Wellfleet,Common Loon,Barnstable County,2/22/2019,Died +24hr,,72,2019,
Julian Road,South Harwich,Common Loon,Barnstable County,2/25/2019,Died in 24hr,,73,2019,2645
732 Main Street,Harwich,American Robin,Barnstable County,2/27/2019,Died in 24hr,,74,2019,2645
Near Hess Station,Orleans,American Robin,Barnstable County,3/8/2019,Euthanized in 24hr,,75,2019,2631
90 Long Pond Road,Brewster,Eastern Chipmunk,Barnstable County,3/10/2019,Died in 24hr,Animal Interaction - Cat,76,2019,2631
Unknown,Westford,Common Goldeneye,Chittenden County,3/11/2019,Died +24hr,,77,2019,
Chatham Lighthouse Beach,Chatham,Common Eider,Barnstable County,3/12/2019,Dead on arrival,,78,2019,49120
5575 State Highway P.O. Box 25,Eastham,Southern Flying Squirrel,Barnstable County,1/25/2019,Released,,79,2019,2651
5575 State Highway P.O. Box 25,Eastham,Southern Flying Squirrel,Barnstable County,3/26/2019,Released,,80,2019,2651
Across from Linda Lane,North Eastham,Southern Flying Squirrel,Barnstable County,2/5/2019,Released,,81,2019,2651
4 Duncan Lane,Provincetown,Razorbill,Barnstable County,2/17/2019,Released,Environmental - Wind,82,2019,2657
Nauset Beach,Orleans,Common Loon,Barnstable County,2/26/2019,Released,Behavioral Stranding,83,2019,
Del Mar Restaurant - Route 28 Chatham Road,Harwich,American Robin,Barnstable County,3/5/2019,Died +24hr,Collision,84,2019,
79 Chase Avenue,Dennisport,Common Loon,Barnstable County,3/12/2019,Died +24hr,,85,2019,
Dennis Commons  Main Street,Dennis,American Tree Sparrow,Barnstable County,3/13/2019,Euthanized in 24hr,,86,2019,2632
Race Point,Provincetown,Common Murre,Barnstable County,3/14/2019,Died +24hr,,87,2019,2651
36 Dunes Road,Harwichport,Surf Scoter,Barnstable County,3/15/2019,Died in 24hr,,88,2019,3766
Stage Harbor Road  Oyster Pond,North Chatham,Common Loon,Barnstable County,3/16/2019,Died +24hr,,89,2019,
Eastham Visitor Center,Eastham,Grey Catbird,Barnstable County,3/16/2019,Died in 24hr,,90,2019,
Rock Harbor Road,Orleans,Northern River Otter,Barnstable County,3/15/2019,Dead on arrival,,91,2019,
Lobster Pot Restaurant,Eastham,American Robin,Barnstable County,3/17/2019,Died in 24hr,Collision,92,2019,
63 Harwich Road,Orleans,Eastern Cottontail,Barnstable County,3/26/2019,Died in 24hr,Entrapment,93,2019,2653
52 Buck's Creek,Chatham,Eastern Screech Owl,Barnstable County,3/20/2019,Released,,94,2019,
48 Sady's Lane,East Falmouth,Red-throated Loon,Barnstable County,3/21/2019,Euthanized in 24hr,,95,2019,
25 Pine Point Road,Wellfleet,Eastern Cottontail,Barnstable County,3/23/2019,Euthanized in 24hr,Animal Interaction - Cat,96,2019,2667
Minot Road,Orleans,Cedar Waxwing,Barnstable County,3/24/2019,Dead on arrival,,97,2019,
Minot Road,Orleans,Cedar Waxwing,Barnstable County,3/26/2019,Died +24hr,,98,2019,
Unknown,West Harwich,Eastern Cottontail,Barnstable County,3/24/2019,Euthanized in 24hr,Animal Interaction - Dog,99,2019,
Pamet Harbor,Truro,Common Loon,Barnstable County,3/24/2019,Died in 24hr,,100,2019,
Pilgrim Spring Road,Wellfleet,Diamondback Terrapin,Barnstable County,3/24/2019,Transferred,,101,2019,2653
Route 137,Harwich,Red-breasted Merganser,Barnstable County,3/3/2019,Released,,102,2019,2631
Nauset Beach,Orleans,Common Murre,Barnstable County,3/5/2019,Released,,103,2019,2653
14 Spencers Trace Road,Harwich,Mourning Dove,Barnstable County,3/16/2019,Euthanized +24hr,Animal Interaction - Hawk,104,2019,
Nauset Beach,Orleans,Common Loon,Barnstable County,3/23/2019,Died +24hr,,105,2019,
12 Prides Path,Orleans,Eastern Cottontail,Barnstable County,3/26/2019,Euthanized in 24hr,,106,2019,2667
12 Prides Path,Orleans,Eastern Cottontail,Barnstable County,3/26/2019,Euthanized in 24hr,,107,2019,2667
12 Prides Path,Orleans,Eastern Cottontail,Barnstable County,3/26/2019,Euthanized in 24hr,,108,2019,2667
12 Prides Path,Orleans,Eastern Cottontail,Barnstable County,3/26/2019,Euthanized in 24hr,,109,2019,2667
Near National Seashore,Eastham,Common Loon,Barnstable County,3/28/2019,Died +24hr,,110,2019,2631
Brooks Road Beach,Harwich,Red-throated Loon,Barnstable County,3/29/2019,Euthanized +24hr,,111,2019,2645
Chatham Village Market parking lot.,Chatham,Eastern Chipmunk,Barnstable County,3/29/2019,Euthanized in 24hr,,112,2019,2650
Ryder's Cove,Chatham,Red-breasted Merganser,Barnstable County,4/8/2019,Released,,113,2019,2653
Unknown,Unknown,Wild Turkey,,4/3/2019,Dead on arrival,,114,2019,
Point of Rocks Road,Brewster,Blue Jay,Barnstable County,4/3/2019,Died in 24hr,,115,2019,
Nauset Light Beach,Eastham,Common Eider,Barnstable County,4/3/2019,Euthanized in 24hr,,116,2019,
Nauset Beach,Orleans,Razorbill,Barnstable County,4/4/2019,Died +24hr,,117,2019,77019
Intersection of Bridge Road and Dyer Prince Road.,Orleans,Cooper's Hawk,Barnstable County,4/5/2019,Dead on arrival,,118,2019,2642
"Jam's, Truro center",Truro,Common Loon,Barnstable County,4/6/2019,Released,,119,2019,
319 Coles Neck Road,Wellfleet,Eastern Cottontail,Barnstable County,4/8/2019,Euthanized in 24hr,,120,2019,2667
319 Coles Neck Road,Wellfleet,Eastern Cottontail,Barnstable County,4/8/2019,Euthanized in 24hr,,121,2019,2667
319 Coles Neck Road,Wellfleet,Eastern Cottontail,Barnstable County,4/9/2019,Euthanized in 24hr,,122,2019,2667
319 Coles Neck Road,Wellfleet,Eastern Cottontail,Barnstable County,4/9/2019,Euthanized in 24hr,,123,2019,2667
319 Coles Neck Road,Wellfleet,Eastern Cottontail,Barnstable County,4/9/2019,Euthanized in 24hr,,124,2019,2667
138 Route 137,East Harwich,Norway Rat,Barnstable County,4/8/2019,Dead on arrival,,125,2019,2645
Andover & Old Queen Anne Road,Chatham,Eastern Cottontail,Barnstable County,4/8/2019,Euthanized in 24hr,,126,2019,
18 Horton Way,North Eastham,White-winged Scoter,Barnstable County,2/16/2019,Released,,127,2019,2651
94 Bakers Pond Road,Orleans,Red-breasted Nuthatch,Barnstable County,2/24/2019,Released,,128,2019,2653
Unknown,Duxbury,Wild Turkey,Plymouth County,4/3/2019,Euthanized +24hr,,129,2019,
28 Mallard Drive,Orleans,Yellow-bellied Sapsucker,Barnstable County,4/8/2019,Died +24hr,,130,2019,
58 Doane Road,Chatham,Red-tailed Hawk,Barnstable County,4/11/2019,Died +24hr,,131,2019,
Uncle Vinnie's Road,Harwich,Eastern Cottontail,Barnstable County,4/13/2019,Died in 24hr,,132,2019,2633
36 Partridge Lane,Harwich,Wild Turkey,Barnstable County,4/13/2019,Died in 24hr,,133,2019,2633
29 Shore View Drive,East Orleans,Eastern Cottontail,Barnstable County,4/15/2019,Euthanized in 24hr,,134,2019,
AP Newcomb/Satucket Road intersection,Brewster,Red-tailed Hawk,Barnstable County,1/25/2019,Euthanized +24hr,,135,2019,
Route 151,Mashpee,Herring Gull,Barnstable County,2/19/2019,Euthanized +24hr,Collision,136,2019,2649
Route 6,Eastham,Herring Gull,Barnstable County,3/28/2019,Euthanized +24hr,Collision,137,2019,2642
12 Yellow Brick Road,North Truro,Meadow Vole,Barnstable County,4/7/2019,Released,,138,2019,2652
437 Commercial Street,Provincetown,Common Loon,Barnstable County,4/12/2019,Died in 24hr,,139,2019,
Halcyon Farm,Brewster,Eastern Cottontail,Barnstable County,4/15/2019,Died in 24hr,Animal Interaction - Cat,140,2019,2667
Forest Beach,Chatham,Long-tailed Duck,Barnstable County,4/16/2019,Died in 24hr,Animal Interaction - Crows,141,2019,
Near breakwater in Provincetown.,Provincetown,Long-tailed Duck,Barnstable County,4/17/2019,Died +24hr,,142,2019,
Intersection of Bridge Road and Dyer Prince Road.,Orleans,Northern Flicker,Barnstable County,5/7/2019,Released,"Collision, Animal Interaction - Hawk",143,2019,2642
211 Stepping Stones Road,Chatham,Eastern Cottontail,Barnstable County,4/10/2019,Died in 24hr,"Orphan, Nest/Habitat Disturbed",144,2019,2633
211 Stepping Stones Road,Chatham,Eastern Cottontail,Barnstable County,4/10/2019,Died in 24hr,Nest Habitat Disturbed / Orphan,145,2019,2633
1080 Queen Anne Road,Harwich,Wild Turkey,Barnstable County,4/17/2019,Died +24hr,Collision,146,2019,2645
4 LR Murphy's Way,South Chatham,Pine Warbler,Barnstable County,4/17/2019,Released,Collision,147,2019,2659
Wellfleet Harbor,Wellfleet,Common Eider,Barnstable County,4/17/2019,Euthanized +24hr,Behavioral Stranding,148,2019,2667
42 Depot Street,Dennisport,Eastern Gray Squirrel,Barnstable County,4/18/2019,Euthanized in 24hr,"Orphaned, Parent Known Dead",149,2019,2639
42 Depot Street,Dennisport,Eastern Gray Squirrel,Barnstable County,5/7/2019,Euthanized in 24hr,"Orphaned, Parent Known Dead",150,2019,2639
42 Depot Street,Dennisport,Eastern Gray Squirrel,Barnstable County,5/7/2019,Euthanized in 24hr,"Orphaned, Parent Known Dead",151,2019,2639
42 Depot Street,Dennisport,Eastern Gray Squirrel,Barnstable County,5/7/2019,Euthanized in 24hr,"Orphaned, Parent Known Dead",152,2019,2639
64 Vineyard Avenue,Chatham,Eastern Cottontail,Barnstable County,4/20/2019,Released,Animal Interaction - Cat,153,2019,2633
64 Vineyard Avenue,Chatham,Eastern Cottontail,Barnstable County,4/20/2019,Released,Animal Interaction - Cat.,154,2019,2633
25 Bearse's Lane,Eastham,Eastern Cottontail,Barnstable County,4/20/2019,Euthanized in 24hr,Animal Interaction - Hawk,155,2019,2642
Bridge Road,Orleans,Common Snapping Turtle,Barnstable County,4/20/2019,Released,Collision,156,2019,
Wellfleet Bay Audubon,Wellfleet,Wild Turkey,Barnstable County,4/20/2019,Dead on arrival,Collision,157,2019,2645
67 Deepwater Lane,Chatham,Mourning Dove,Barnstable County,4/20/2019,Euthanized in 24hr,Animal Interaction,158,2019,2633
120 Dyer Prince Road,Eastham,American Goldfinch,Barnstable County,4/21/2019,Released,,159,2019,2642
Main Street across from the Wicked Oyster.,Wellfleet,Long-tailed Duck,Barnstable County,4/21/2019,Died in 24hr,Behavioral Stranding,160,2019,2667
Route 6 by Cedar Pond/motel.,Orleans,Mute Swan,Barnstable County,4/21/2019,Released,Behavioral Stranding,161,2019,
No address given.,Provincetown,Common Loon,Barnstable County,4/21/2019,Died +24hr,Behavioral Stranding,162,2019,
680 Chequessett Road,Wellfleet,Surf Scoter,Barnstable County,4/22/2019,Died +24hr,,163,2019,2667
17 Chilton Lane,Brewster,Mourning Dove,Barnstable County,4/20/2019,Died in 24hr,Orphan - fell from nest.,164,2019,
17 Chilton Lane,Brewster,Mourning Dove,Barnstable County,4/20/2019,Died +24hr,Orphan - fell from nest.,165,2019,
25 Pine Point Road,Wellfleet,Eastern Cottontail,Barnstable County,4/22/2019,Dead on arrival,Animal Interaction - Cat,166,2019,2667
Route 6 Westbound  mm 82.4 - 82.2,Harwich,Osprey,Barnstable County,4/22/2019,Dead on arrival,Collision,167,2019,2638
Route 28  near Home Again,Chatham,Eastern Cottontail,Barnstable County,4/23/2019,Euthanized in 24hr,Collision,168,2019,2645
Nauset outer beach,Orleans,Common Loon,Barnstable County,4/24/2019,Euthanized in 24hr,Behavioral Stranding,169,2019,2633
Crosby Beach,Brewster,Northern Gannet,Barnstable County,4/24/2019,Died +24hr,,170,2019,2631
Nauset Beach,Orleans,Dovekie,Barnstable County,4/24/2019,Died +24hr,Behavioral Stranding,171,2019,2643
4 Thach Lane,Hyannis,Eastern Gray Squirrel,Barnstable County,4/24/2019,Died +24hr,Animal Interaction - Cat,172,2019,
64 Calvin Drive,Dennis,Common Grackle,Barnstable County,4/24/2019,Euthanized in 24hr,,173,2019,2638
161 Wintergreen Lane,Brewster,Eastern Cottontail,Barnstable County,4/25/2019,Died in 24hr,,174,2019,2631
33 Captain William Arthur Road,Brewster,Eastern Cottontail,Barnstable County,4/24/2019,Died in 24hr,Entrapment,175,2019,2631
315 Samoset Road,Eastham,Rose-breasted Grosbeak,Barnstable County,4/25/2019,Released,Collision - Window,176,2019,2642
62 Oyster Pond Furlong,Chatham,Eastern Cottontail,Barnstable County,4/26/2019,Euthanized in 24hr,,177,2019,2633
Grand View,East Orleans,Eastern Cottontail,Barnstable County,4/26/2019,Released,Entrapment - Window well,178,2019,2653
Grand View,East Orleans,Eastern Cottontail,Barnstable County,4/26/2019,Released,Entrapment - window well,179,2019,2653
Route 28 near Aries Lane,Orleans,Black-capped Chickadee,Barnstable County,4/27/2019,Died in 24hr,Collision,180,2019,2645
Punkhorn Parklands,Brewster,Eastern Cottontail,Barnstable County,4/27/2019,Euthanized +24hr,Animal Interaction - Dog,181,2019,2653
No address given,Harwich,Herring Gull,Barnstable County,4/27/2019,Euthanized in 24hr,,182,2019,2645
50 North Street,Dennisport,Eastern Cottontail,Barnstable County,4/28/2019,Euthanized in 24hr,Animal Interaction - Cat,183,2019,
365 Hay Road,Eastham,Blue Grosbeak,Barnstable County,4/28/2019,Died in 24hr,,184,2019,2642
No information given.,Eastham,Eastern Cottontail,Barnstable County,4/28/2019,Released,,185,2019,
Barley Neck Road,Orleans,Eastern Cottontail,Barnstable County,4/28/2019,Died in 24hr,Orphan,186,2019,2631
No address given.,North Truro,Eastern Cottontail,Barnstable County,4/29/2019,Euthanized +24hr,Animal Interaction - Dog,187,2019,2652
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/Habitat Destruction - Orphan,188,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/Habitat Destruction - Orphan,189,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest Habitat Destruction - Orphan,190,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/ habitat Destruction - Orphan,191,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/Habitat Destruction - Orphan,192,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/Habitat Destruction - Orphan,193,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest habitat Destruction - Orphan,194,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/Habitat Destruction - Orphan,195,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/Habitat Destruction - Orphan,196,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/Habitat destruction - Orphan,197,2019,
Home Depot,Hyannis,House Mouse,Barnstable County,4/28/2019,Euthanized in 24hr,Nest/Habitat Destruction - Orphan,198,2019,
Driftwood Road,Orleans,Eastern Gray Squirrel,Barnstable County,4/29/2019,Died in 24hr,Animal Interaction - ?,199,2019,
45 Harvest Road,Eastham,Eastern Cottontail,Barnstable County,4/30/2019,Euthanized in 24hr,Animal Interaction - Cat,200,2019,2642
Route 28 Pond Street,Orleans,Red-tailed Hawk,Barnstable County,5/1/2019,Euthanized in 24hr,Collision - Vehicle,201,2019,
Skaket Corners in the middle of the road.,Orleans,Eastern Cottontail,Barnstable County,5/2/2019,Released,Orphan?,202,2019,2601
12 Kimberly Way,Harwich,Eastern Cottontail,Barnstable County,5/2/2019,Euthanized in 24hr,Animal Interaction - Cat,203,2019,2645
Agway,Chatham,Eastern Cottontail,Barnstable County,5/2/2019,Died in 24hr,Injured,204,2019,
23 Blueberry Island Road,Orleans,Big Brown Bat,,5/20/2019,Transferred,Nest/Habitat Destruction,205,2019,
27 Snakecreek Road,Wellfleet,Raccoon,Barnstable County,5/3/2019,Transferred,Orphan,206,2019,
54 Whittier Drive,Dennis,Eastern Gray Squirrel,Barnstable County,3/24/2019,Released,Nest/Habitat Disturbed,207,2019,
54 Whittier Drive,Dennis,Eastern Gray Squirrel,Barnstable County,3/24/2019,Released,Nest/Habitat Disturbed,208,2019,
54 Whitter Drive,Dennis,Eastern Gray Squirrel,Barnstable County,3/24/2019,Released,Nest/Habitat Disturbed,209,2019,
54 Whitter Drive,Dennis,Eastern Gray Squirrel,Barnstable County,3/24/2019,Released,Nest/Habitat Disturbed,210,2019,
50 Old farm Lane,Eastham,Eastern Cottontail,Barnstable County,3/31/2019,Died in 24hr,Nest/Habitat Disturbed,211,2019,2651
50 Old Farm Lane,Eastham,Eastern Cottontail,Barnstable County,3/31/2019,Released,Nest/Habitat Disturbed,212,2019,2651
50 Old Farm Lane,Eastham,Eastern Cottontail,Barnstable County,3/31/2019,Released,Nest/habitat Disturbed,213,2019,2651
35 Bob-o-link Lane,West Yarmouth,Eastern Cottontail,Barnstable County,4/3/2019,Released,Animal Interaction - Dog,214,2019,
35 Bob-o-link Lane,West Yarmouth,Eastern Cottontail,Barnstable County,4/3/2019,Released,Animal Interaction - Dog,215,2019,
1064 Main Street,West Barnstable,Eastern Cottontail,Barnstable County,4/7/2019,Died +24hr,Animal Interaction - Cat,216,2019,2668
Corporation Road,Dennis,Eastern Cottontail,Barnstable County,4/9/2019,Died +24hr,Nest/Habitat Disturbed,217,2019,2660
Corporation Road,Dennis,Eastern Cottontail,Barnstable County,4/9/2019,Released,Nest/Habitat Disturbed,218,2019,2660
Corporation Road,Dennis,Eastern Cottontail,Barnstable County,4/9/2019,Released,Nest/Habitat Disturbed,219,2019,2660
County Road,Pocasset,Eastern Painted Turtle,Barnstable County,4/11/2019,Released,Nest/Habitat Disturbed,220,2019,2559
Exit 9  Route 6,Dennis,Wild Turkey,Barnstable County,4/13/2019,Euthanized +24hr,Collision,221,2019,
20 Drake Road,Eastham,Eastern Cottontail,Barnstable County,5/22/2019,Died in 24hr,Nest/Habitat Disturbed,222,2019,2642
Bike path,Harwich,Red-tailed Hawk,Barnstable County,4/15/2019,Released,Collision,223,2019,
18 Fredenicksburg Avenue,Harwich,Eastern Cottontail,Barnstable County,4/16/2019,Died in 24hr,Animal Interaction - Cat,224,2019,2645
10 Great Woods Road,Harwich,Eastern Cottontail,Barnstable County,4/16/2019,Died +24hr,"Orphan, Animal Interaction - Dog",225,2019,2645
10 Great Woods Road,Harwich,Eastern Cottontail,Barnstable County,4/16/2019,Released,"Orphan, Animal Interaction - Dog",226,2019,2645
10 Great Woods Road,Harwich,Eastern Cottontail,Barnstable County,4/16/2019,Released,"Orphan, Animal Interaction - Dog",227,2019,2645
No address given,Orleans,Eastern Cottontail,Barnstable County,4/17/2019,Released,Nest/Habitat Disturbed,228,2019,6248
No address given,Orleans,Eastern Cottontail,Barnstable County,4/17/2019,Released,Nest/Habitat Disturbed,229,2019,6248
No address given,Orleans,Eastern Cottontail,Barnstable County,5/28/2019,Euthanized in 24hr,Nest/Habitat Disturbed,230,2019,6248
2 Preservation Path,Orleans,Red-tailed Hawk,Barnstable County,4/29/2019,Euthanized +24hr,Poisoning,231,2019,
Ryder's Cove,Chatham,Great Black-backed Gull,Barnstable County,4/30/2019,Euthanized +24hr,Collision - Vehicle,232,2019,
97 Beach Street,Dennis,Eastern Chipmunk,Barnstable County,5/1/2019,Released,Entrapment - Pool,233,2019,
16 Valley Road,Middleborough,Eastern Gray Squirrel,Plymouth County,5/28/2019,Euthanized +24hr,Orphan,234,2019,
25 Pine Point Road,Wellfleet,Eastern Cottontail,Barnstable County,5/3/2019,Died +24hr,Animal Interaction - Cat,235,2019,2667
68 Kibby Lane,Dennisport,Eastern Cottontail,Barnstable County,5/3/2019,Died in 24hr,Animal Interaction - Dog,236,2019,2639
122 Pheasant Hill Circle,Cotuit,White-footed Mouse,Barnstable County,5/4/2019,Died in 24hr,Animal Interaction - Cat,237,2019,2635
1154 Queen Anne Road,Harwich,Mourning Dove,Barnstable County,5/4/2019,Died in 24hr,"Orphan, Animal Interaction - Cat",238,2019,2745
